Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
UND,University of North Dakota,UND,Bismarck,Burleigh,North Dakota,46.813333,-100.778889,0,,,,,,1,1883,1883,1884,,1,1,,,,,,,1,"Capital, Penitentiary",,,,,,,2
AkronU,Akron University,AkronU,Akron,Summit,Ohio,41.073056,-81.517778,1,,,,1,,,1870,1870,1872,,,,,,,,,,,,,,100000,,,,1
AkronU,Akron University,AkronU,Kent,Portage,Ohio,41.15,-81.36,0,,,,1,,,1870,1870,1872,,,,,,,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Bowling Green,Wood,Ohio,41.373889,-83.650833,1,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,3,1,2
BGSU,Bowling Green State University,BGSU,Van Wert,Van Wert,Ohio,40.867778,-84.583333,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,2,1,2
BGSU,Bowling Green State University,BGSU,Napoleon,Henry,Ohio,41.391944,-84.126667,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,2
BGSU,Bowling Green State University,BGSU,Fremont,Sandusky,Ohio,41.348889,-83.117222,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,2
BGSU,Bowling Green State University,BGSU,Arcadia,Hancock,Ohio,41.111944,-83.5125,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Findlay,Hancock,Ohio,41.042778,-83.642222,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Grand Rapids,Wood,Ohio,41.410833,-83.866944,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Perrysburg,Wood,Ohio,41.550278,-83.63,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
BGSU,Bowling Green State University,BGSU,Carey,Wyandot,Ohio,40.951944,-83.381667,0,,1,,,,,1910,1910,1914,1916,1,,,,1,,,,,,,,,,,,1
